,path_or_url,file,line,text
238,/redis,/mnt/data/service-shop/service-Shop/helm-chart/templates/cartservice.yaml,257,image: {{ .Values.images.repository }}/redis:alpine
239,/data,/mnt/data/service-shop/service-Shop/helm-chart/templates/cartservice.yaml,270,- mountPath: /data
248,/etc/certs/,/mnt/data/service-shop/service-Shop/helm-chart/templates/cartservice.yaml,384,caCertificates: /etc/certs/{{ .Values.cartDatabase.externalRedisTlsOrigination.name }}.pem
250,/32,/mnt/data/service-shop/service-Shop/helm-chart/templates/cartservice.yaml,395,- {{ .Values.cartDatabase.externalRedisTlsOrigination.endpointAddress }}/32
251,/v1,/mnt/data/service-shop/service-Shop/helm-chart/templates/loadgenerator.yaml,30,apiVersion: apps/v1
252,/rewriteAppHTTPProbers,/mnt/data/service-shop/service-Shop/helm-chart/templates/loadgenerator.yaml,47,"sidecar.istio.io/rewriteAppHTTPProbers: ""true"""
253,/bin/sh,/mnt/data/service-shop/service-Shop/helm-chart/templates/loadgenerator.yaml,70,- /bin/sh
254,http://${FRONTEND_ADDR},/mnt/data/service-shop/service-Shop/helm-chart/templates/loadgenerator.yaml,77,STATUSCODE=$(wget --server-response http://${FRONTEND_ADDR} 2>&1 | awk '/^  HTTP/{print $2}')
256,/v1beta1,/mnt/data/service-shop/service-Shop/helm-chart/templates/loadgenerator.yaml,139,apiVersion: networking.istio.io/v1beta1
257,/v1,/mnt/data/service-shop/service-Shop/helm-chart/templates/currencyservice.yaml,30,apiVersion: apps/v1
259,/v1beta1,/mnt/data/service-shop/service-Shop/helm-chart/templates/currencyservice.yaml,147,apiVersion: networking.istio.io/v1beta1
261,/ns/,/mnt/data/service-shop/service-Shop/helm-chart/templates/currencyservice.yaml,179,- cluster.local/ns/{{ .Release.Namespace }}/sa/{{ .Values.frontend.name }}
262,/sa/,/mnt/data/service-shop/service-Shop/helm-chart/templates/currencyservice.yaml,179,- cluster.local/ns/{{ .Release.Namespace }}/sa/{{ .Values.frontend.name }}
266,/sa/default,/mnt/data/service-shop/service-Shop/helm-chart/templates/currencyservice.yaml,182,- cluster.local/ns/{{ .Release.Namespace }}/sa/default
267,/hipstershop,/mnt/data/service-shop/service-Shop/helm-chart/templates/currencyservice.yaml,187,- /hipstershop.CurrencyService/Convert
268,/Convert,/mnt/data/service-shop/service-Shop/helm-chart/templates/currencyservice.yaml,187,- /hipstershop.CurrencyService/Convert
270,/GetSupportedCurrencies,/mnt/data/service-shop/service-Shop/helm-chart/templates/currencyservice.yaml,188,- /hipstershop.CurrencyService/GetSupportedCurrencies
271,/v1,/mnt/data/service-shop/service-Shop/helm-chart/templates/shippingservice.yaml,30,apiVersion: apps/v1
273,/v1beta1,/mnt/data/service-shop/service-Shop/helm-chart/templates/shippingservice.yaml,136,apiVersion: networking.istio.io/v1beta1
275,/ns/,/mnt/data/service-shop/service-Shop/helm-chart/templates/shippingservice.yaml,168,- cluster.local/ns/{{ .Release.Namespace }}/sa/{{ .Values.frontend.name }}
276,/sa/,/mnt/data/service-shop/service-Shop/helm-chart/templates/shippingservice.yaml,168,- cluster.local/ns/{{ .Release.Namespace }}/sa/{{ .Values.frontend.name }}
280,/sa/default,/mnt/data/service-shop/service-Shop/helm-chart/templates/shippingservice.yaml,171,- cluster.local/ns/{{ .Release.Namespace }}/sa/default
281,/hipstershop,/mnt/data/service-shop/service-Shop/helm-chart/templates/shippingservice.yaml,176,- /hipstershop.ShippingService/GetQuote
282,/GetQuote,/mnt/data/service-shop/service-Shop/helm-chart/templates/shippingservice.yaml,176,- /hipstershop.ShippingService/GetQuote
284,/ShipOrder,/mnt/data/service-shop/service-Shop/helm-chart/templates/shippingservice.yaml,177,- /hipstershop.ShippingService/ShipOrder
285,/v1,/mnt/data/service-shop/service-Shop/helm-chart/templates/adservice.yaml,30,apiVersion: apps/v1
287,/v1beta1,/mnt/data/service-shop/service-Shop/helm-chart/templates/adservice.yaml,133,apiVersion: networking.istio.io/v1beta1
